Comment,Designator,Footprint,LCSC
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
ATmega328-A,uC1,TQFP-32_7x7mm_P0.8mm,C14877
22p,"C3,C4",C_0402_1005Metric,C1555
100k,R13,R_1206_3216Metric,C17900
10k,"R1,R2",R_1206_3216Metric,C17902
Connecteur_Prog,J4,PinHeader_1x08_P2.54mm_Vertical,
Conn_encodeur_rotatif,J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,
Connecteur_bouton_1,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Connecteur_ecran,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Connecteur_Alim,J1,TerminalBlock_bornier-2_P5.08mm,
MountingHole_Pad,H1,MountingHole_4.3mm_M4_DIN965_Pad,
MountingHole_Pad,H4,MountingHole_4.3mm_M4_DIN965_Pad,
Connecteur_bouton_2,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
MountingHole_Pad,H3,MountingHole_4.3mm_M4_DIN965_Pad,
MountingHole_Pad,H2,MountingHole_4.3mm_M4_DIN965_Pad,
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,
Conn_01x03_Female,J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
